valid,air_temperature,dew_point,relative_humidity,wind_direction,wind_speed,sea_level_pressure,one_hour_precipitation,wind_gust,cloud_coverage_level1,cloud_coverage_level2,cloud_coverage_level,cloud_height_level1,cloud_height_level,cloud_height_level.1
2010-01-01 0:00:00,3.5,3.5,100,40,6,994.2,,,,,,,,
2010-01-01 16:00:00,5,3,86.89,,,,,,,,,,,
2010-01-02 8:00:00,2,0,86.59,320,21,,,32,,,,,,
2010-01-02 23:30:00,-1,-4,80.07,320,18,,,,,,,,,
2010-01-03 15:30:00,-1,-7,63.75,310,7,,,,,,,,,
2010-01-04 7:30:00,-4,-7,79.62,80,3,,,,,,,,,
2010-01-04 23:30:00,-3,-6,79.77,60,6,,,,,,,,,
2010-01-05 15:30:00,-3,-6,79.77,90,10,,,,,,,,,
2010-01-06 7:00:00,-2,-2,100,70,4,,,,,,,,,
2010-01-06 23:00:00,-3,-5,86.07,280,5,,,,,,,,,
2010-01-07 15:00:00,-0.3,-4,76.09,250,2,1013.7,,,,,,,,
2010-01-08 4:30:00,-4,-4,100,70,9,,,,,,,,,
2010-01-08 20:30:00,2,2,100,50,8,,,,,,,,,
2010-01-09 12:30:00,2,1,93.08,290,6,,,,,,,,,
2010-01-10 3:30:00,2,2,100,270,6,,,,,,,,,
2010-01-10 19:30:00,0,-3,80.22,280,7,,,,,,,,,
2010-01-11 11:30:00,0,-5,69.04,320,8,,,,,,,,,
2010-01-12 3:30:00,-4,-5,92.74,250,5,,,,,,,,,
2010-01-12 19:30:00,-4,-5,92.74,300,5,,,,,,,,,
2010-01-13 11:30:00,-2,-4,86.18,120,8,,,,,,,,,
2010-01-14 3:30:00,-1,-3,86.28,130,10,,,,,,,,,
2010-01-14 19:30:00,-1,-2,92.92,120,10,,,,,,,,,
2010-01-15 11:30:00,0,-1,92.97,80,3,,,,,,,,,
2010-01-16 3:30:00,-1,-2,92.92,40,5,,,,,,,,,
2010-01-16 19:30:00,-3,-4,92.8,140,7,,,,,,,,,
2010-01-17 11:41:00,0,-2,86.39,130,11,,,,,,,,,
2010-01-18 3:30:00,-1,-2,92.92,100,4,,,,,,,,,
2010-01-18 19:00:00,-2,-2,100,0,0,,,,,,,,,
2010-01-19 11:00:00,3,-1,74.98,350,2,,,,,,,,,
2010-01-20 3:00:00,-0.9,-1.2,97.83,40,2,1019.4,,,,,,,,
2010-01-20 17:30:00,-4,-8,73.7,340,9,,,,,,,,,
2010-01-21 9:00:00,-5.2,-6.6,89.88,280,2,1023.3,,,,,,,,
